"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000000604047","(디자이너를 위한) 캘리그라피 실무노트","김미형 지음","투데이북스","2013","9788998192068","6","2"
"000001730350","(디자인이 한눈에 보이는) 책방도감 :공간 디자인으로 동네를 바꾼 일본의 로컬 서점 40곳","건축지식 편집부 지음","현익출판","2024","9791193217702","0","2"
"000001344542","(딱! 한권) JLPT 단어장 :N4 : 테마별 연상암기 : day 30일 완성","JLPT연구모임[저]","시사일본어사","2018","9788940292464","7","2"
"000001721908","(레이첼에너지가 알려주는) 요즘애들의 힙한 여행영어","레이첼에너지 지음","21세기북스(북이십일 21세기북스)","2024","9791171176076","7","2"
"000001095055","(레이첼의 장미 모티브) 손뜨개 소품 31 :Rachel's rose crochet","양선영 지음","팜파스","2018","9791170261896","5","2"
"000001410464","(로보카 폴리) 바닷속 친구!","로이비쥬얼 원작","로이 Books : 로이비쥬얼","2020","9791186201619","1","2"
"000001674379","(로스쿨) 민법 사례형의 정석 =Civil law","정연석 著","정독","2024","9791168582248","3","2"
"000001589734","(류승재 특급 비법) 진짜 수학 공부법 :수학 핵심 공략법 & 수학 공부 로드맵","류승재 지음","경향BP(경향비피)","2023","9788969525307","4","2"
"000000046686","(마르셀 세르당과 데디트 피아프의) 편지","마르셀 세르당","은행나무","2003","895660018x","8","2"
"000001159526","(마인크래프트) 건축 장인 세계 여행 :independent and unofficial book","윌 제윗","예림당","2018","9788930270779","6","2"
"000001093555","(마인크래프트) 네더와 엔드 가이드","Stephanie Milton [지음]","영진닷컴","2017","9788931456516","6","2"
"000001093610","(마인크래프트) 탐험 가이드","Stephanie Milton [지음]","영진닷컴","2017","9788931455496","6","2"
"000001046651","(만화) 어? 성경이 읽어지네! .[2] ,구약편","이애실 원작","생명의말씀사","2014","9788904131914","2","2"
"000001722593","(만화로 보는) 3분 철학 .3 ,서양 현대 철학편","김재훈 글?그림","카시오페아","2022","9791168270343","1","2"
"000001589234","(만화로 보는) 소피의 세계 .1 ,소크라테스에서 갈릴레오까지의 철학","요슈타인 가아더 원작","김영사","2022","9788934942733","1","2"
"000001718209","(만화로 보는) 소피의 세계 .2 ,데카르트에서 현대 철학자들까지","요슈타인 가아더 원작","김영사","2024","9788934946021","1","2"
"000001280265","(만화로 보는) 이해하면 이상한 양자역학 :얽힘에서 순간이동까지 수상한 과학이야기","타냐 버브","다른","2019","9791156332213","4","2"
"000001631369","(만화로 보는) 피스톨 스토리 :권총으로 꿰뚫는 역사적 순간들","푸르공 글?그림","한빛비즈","2023","9791157846863","3","2"
"000001508567","(만화로 쉽게 배우는) 디지털 회로 =Digital circuit","아마노 히데하루 저","BM성안당","2015","9788931589900","5","2"
"000001525582","(만화로 쉽게 배우는) 미분방정식 :미분방정식의 세계를 유람하며 그림으로 재미있게 풀어낸 해설서 =Ordinary differential equations","사토 미노루 저","BM성안당","2011","9788931588675","4","2"
"000000988889","(만화로 쉽게 배우는) 반도체 :반도체 고유의 특이한 성질을 재미있게 풀어낸 해설서","Michio Shibuya 저","BM성안당","2011","9788931580747","5","2"
"000001094917","(만화로 쉽게 배우는) 유체역학 =Fluid dynamics","Takei Masahiro 저","성안당","2017","9788931581850","5","2"
"000001525580","(만화로 쉽게 배우는) 허수?복소수 :기초 수학에서 전기회로 이론까지 이해할 수 있는 해설서! =Complex number","오치 마사시 저","BM성안당","2011","9788931589337","4","2"
"000001044845","(만화로 체험하는!) 니뽄노 카이샤 :비즈니스 일본어를 실천한다","일본한자능력검정협회 [편저]","해외교육사업단","2017","9791185979144","7","2"
"000000992152","(많이 쓰이는 표현들만 꼭꼭 찝어주는) 영어표현 핵심사전 :English expression","영어교재연구원 엮음","예가","2016","9788975675737","7","2"
"000000335655","(맛있는) 추억의 팝송 144 : 팝송으로 배우는 영어 & 원문","장시왕","미성문화원","2013","9788993394566","7","2"
"000001527555","(머릿속에 쏙쏙!) 원소 노트","도쿄대학교 사이언스커뮤니케이션 동아리 CAST 지음","시그마북스","2020","9791190257312","4","2"
"000001629860","(명화로 읽는) 독일 프로이센 역사","나카노 교코 지음","한경arte: 한국경제신문: 한경BP","2023","9788947548922","9","2"
"000001575350","(명화로 읽는) 합스부르크 역사 :Habsburgerreich","나카노 교코 지음","한경arte : 한국경제신문 한경BP","2022","9788947548472","9","2"
"000001675180","(모두의) 기타 코드 바이블 :한 권으로 A to Z 기타 코드 마스터 가이드","조혜진 지음","그래서음악(somusic)","2024","9791192447889","6","2"
"000000508810","(모든 한국어 시험에 통하는) 우리말 겨루기 .[2] ,속담","임무출 엮음","다산북스","2013","9791130600260","7","2"
"000001645765","(모험하고 싸우고 기도하고 조각하는) 중세 유럽인 이야기","주경철 지음","H(휴머니스트출판그룹)","2023","9791170870661","9","2"
"000001654414","(몰랑말랑) 찰떡같이 써먹는 수수께끼","전판교 글","대원키즈 : 대원씨아이","2023","9791170621300","7","2"
"000001349193","(무조건 따라하면 통하는) 바로바로 베트남어 독학 첫걸음","FL4U컨텐츠 저","탑메이드북","2019","9788971729021","7","2"
"000001627587","(무조건 통과하는) 공문서 작성법 :현직 공무원이 한 권으로 정리한 공문서 바로 쓰기","이무하 지음","비전코리아","2023","9788963222080","3","2"
"000001611485","(무조건 합격하는) 거꾸로 공부법 :모든 시험에 통하는 최강의 공부기술!","곽상빈 지음","평단","2023","9788973435524","3","2"
"000001332495","(문명으로 읽는) 종교 이야기 :기독교, 유대교, 이슬람교, 불교, 힌두교 탄생의 역사","홍익희 지음","행성B(행성비)","2019","9791164710041","2","2"
