"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001509345","작별하지 않는다 :한강 장편소설","한강 지음","문학동네","2021","9788954682152","8","30"
"000001297078","여행의 이유 :김영하 산문","김영하 지음","문학동네","2019","9788954655972","8","23"
"000000273031","희랍어 시간 :한강 장편소설","한강 지음","문학동네","2011","9788954616515","8","22"
"000001222932","흰 :한강 소설","한강 지음","문학동네","2018","9788954651134","8","22"
"000000993834","바깥은 여름 :김애란 소설","김애란 [지음]","문학동네","2017","9788954646079","8","17"
"000001508624","지구 끝의 온실 :김초엽 장편소설","김초엽 지음","Giant Books(자이언트북스)","2021","9791191824001","8","17"
"000001481845","미드나잇 라이브러리","매트 헤이그 지음","인플루엔셜","2021","9791191056556","8","16"
"000000034286","채식주의자 :한강 연작소설","한강 지음","창비","2007","9788936433598","8","16"
"000001318628","대도시의 사랑법 :박상영 연작소설","박상영 지음","창비","2019","9788936437978","8","15"
"000001485420","불편한 편의점 :김호연 장편소설","김호연 지음","나무옆의자","2021","9791161571188","8","15"
"000001737546","나라를 위해서 일한다는 거짓말 :한국 공직사회는 왜 그토록 무능해졌는가","노한동 지음","Sideways(사이드웨이)","2024","9791191998375","3","14"
"000000007811","바람이 분다, 가라 :한강 장편소설","한강 지음","문학과지성사","2010","9788932020006","8","14"
"000001526996","H마트에서 울다","미셸 자우너 지음","문학동네","2022","9788954683371","8","13"
"000001051179","검은 사슴 :한강 장편소설","한강 지음","문학동네","2017","9788954648905","8","13"
"000001348836","달리기를 말할 때 내가 하고 싶은 이야기 =What I talk about when I talk about running","무라카미 하루키 지음","문학사상","2009","9788970128337","8","13"
"000000308691","모순 :양귀자 장편소설","양귀자 지음","쓰다","2013","9788998441012","8","13"
"000001563027","불편한 편의점 :김호연 장편소설 .2","김호연 지음","나무옆의자","2022","9791161571379","8","13"
"000000298646","브람스를 좋아하세요..","프랑수아즈 사강 지음","민음사","2011","9788937461798","8","13"
"000001311391","이기적 유전자","리처드 도킨스 지음","을유문화사","2018","9788932473901","4","13"
"000001634788","(흔한남매의) 흔한 호기심 :일상에서 만나는 과학 상식 .9","흔한남매 원작","MiraeN아이세움: 미래엔","2023","9791168415409","4","12"
"000001473627","긴긴밤","루리 글?그림","문학동네","2021","9788954677158","8","12"
"000000270510","나미야 잡화점의 기적 :히가시노 게이고 장편소설","히가시노 게이고 지음","현대문학","2012","9788972756194","8","12"
"000001550988","내가 틀릴 수도 있습니다 :숲속의 현자가 전하는 마지막 인생수업","비욘 나티코 린데블라드 지음","다산초당 : 다산북스","2022","9791130689890","2","12"
"000001550979","당신은 결국 무엇이든 해내는 사람 :김상현 에세이","김상현 지음","필름: 필름(Feelm) 출판사","2022","9791188469994","8","12"
"000001633594","맡겨진 소녀 :클레어 키건 소설","클레어 키건 지음","다산책방 : 다산북스","2023","9791130698199","8","12"
"000001644184","설자은, 금성으로 돌아오다 :정세랑 장편소설","정세랑 지음","문학동네","2023","9788954695978","8","12"
"000001484855","순례주택 :유은실 소설","유은실 지음","비룡소","2021","9788949123493","8","12"
"000000002196","예지몽 :히가시노 게이고 소설","히가시노 게이고 [지음]","재인","2009","9788990982315","8","12"
"000001485574","완전한 행복 :정유정 장편소설","정유정 지음","은행나무","2021","9791167370280","8","12"
"000001555843","최재천의 공부 :어떻게 배우며 살 것인가","최재천","김영사","2022","9788934943457","3","12"
"000001397272","칵테일, 러브, 좀비","조예은 지음","안전가옥","2020","9791190174756","8","12"
"000001332798","코스모스 :특별판","칼 세이건 지음","사이언스북스","2006","9788983711892","4","12"
"000001314638","가재가 노래하는 곳 :델리아 오언스 장편소설","델리아 오언스 [지음]","살림 : 살림출판사","2019","9788952240569","8","11"
"000001575427","나주에 대하여 :김화진 소설","김화진 지음","문학동네","2022","9788954688994","8","11"
"000001462551","돈의 심리학 :당신은 왜 부자가 되지 못했는가","모건 하우절 지음","인플루엔셜","2021","9791191056372","3","11"
"000001569980","마흔에 읽는 니체 :지금 이 순간을 살기 위한 철학 수업: Nietzsche","장재형 지음","유노북스: 유노콘텐츠그룹","2022","9791192300245","1","11"
"000001220440","부자 아빠 가난한 아빠 :부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판","로버트 기요사키 지음","민음인","2018","9791158883591","3","11"
"000001674397","삼체 .1부 ,삼체문제 =The three body","류츠신 지음","자음과모음","2020","9788954442695","8","11"
"000001397012","소년과 두더지와 여우와 말","찰리 맥커시 글?그림","상상의 힘","2020","9788997381678","8","11"
"000001301478","여수의 사랑 :한강 소설집","한강 지음","문학과지성사","2018","9788932034812","8","11"
"000001649398","이처럼 사소한 것들 :클레어 키건 소설","클레어 키건 지음","다산책방: 다산북스","2023","9791130646381","8","11"
"000001718974","탕비실 :이미예 소설","이미예 지음","한끼 : 오팬하우스","2024","9791198809940","8","11"
"000001058983","파친코 :이민진 장편소설 .1","이민진 지음","문학사상","2018","9788970129815","8","11"
"000001481864","프로젝트 헤일메리","앤디 위어 지음","RHK(알에이치코리아)","2021","9788925588735","8","11"
"000001008112","해가 지는 곳으로 :최진영 장편소설","최진영 [지음]","민음사","2017","9788937473166","8","11"
"000001717004","(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 =Choyaku buddhano kotoba","코이케 류노스케 지음","포레스트북스: 콘텐츠그룹 포레스트","2024","9791193506516","2","10"
"000001556888","(보도 섀퍼의) 돈","보도 섀퍼 지음","에포케","2022","9788919205013","3","10"
"000001304062","나는 소망한다 내게 금지된 것을 :양귀자 장편소설","양귀자  지음","쓰다","2019","9788998441074","8","10"
"000001301100","내 여자의 열매 :한강 소설집","한강 지음","문학과지성사","2018","9788932034829","8","10"
"000001137438","내게 무해한 사람 :최은영 소설","최은영 지음","문학동네","2018","9788954651820","8","10"
"000001398447","달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 : 이미예 장편소설","이미예 지음","팩토리나인","2020","9791165341909","8","10"
"000001634631","도시와 그 불확실한 벽 :무라카미 하루키 장편소설","무라카미 하루키 지음","문학동네","2023","9788954699075","8","10"
"000001589683","돈은 좋지만 재테크는 겁나는 너에게 :혼자서는 막막한 20대에게 뿅글이가 알려주는 돈을 다루고 불리는 비밀","뿅글이 지음","BM황금부엉이: 첨단","2023","9788960306134","3","10"
"000001523906","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기","룰루 밀러 지음","곰출판","2021","9791189327156","4","10"
"000000932994","영어책 한 권 외워봤니?","김민식 지음","위즈덤하우스: 위즈덤하우스 미디어그룹","2017","9788960863132","7","10"
"000001667710","이 지랄맞음이 쌓여 축제가 되겠지 :조승리 에세이","조승리 글","달 출판사","2024","9791158161767","8","10"
"000001391659","자평진전 :격국용신론의 체계적 이론을 세운 명저(名著)","심효첨 원저","문원북","2020","9788974614591","1","10"
"000000920583","지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가","팀 마샬 지음","사이","2016","9788993178692","3","10"
"000001222840","파과 :구병모 장편소설","구병모 [지음]","위즈덤하우스 미디어그룹: 위즈덤하우스","2018","9791162203620","8","10"
"000001509082","홍학의 자리 :정해연 장편소설","정해연 지음","엘릭시르 : 문학동네","2021","9788954681155","8","10"
"000000722900","구의 증명 :최진영 소설","최진영 지음","은행나무","2015","9788956608556","8","9"
"000000150371","국가는 왜 실패하는가","대런 애쓰모글루","시공사","2012","9788952766984","3","9"
"000001731316","그대의 차가운 손 :: 한강 장편소설","한강 지음","문학과지성사","2002","9788932013046","8","9"
"000001648825","나는 메트로폴리탄 미술관의 경비원입니다 :경이로운 세계 속으로 숨어버린 한 남자의 이야기","패트릭 브링리 지음","웅진지식하우스: 웅진씽크빅","2023","9788901276533","8","9"
"000001359412","내가 원하는 것을 나도 모를 때 :잃어버린 나를 찾는 인생의 문장들","전승환 지음","다산초당 : 다산북스","2020","9791130627878","8","9"
"000001508031","밝은 밤 :최은영 장편소설","최은영 지음","문학동네","2021","9788954681179","8","9"
"000000760074","서랍에 저녁을 넣어 두었다 :한강 시집","한강 지음","문학과지성사","2013","9788932024639","8","9"
"000001636955","시대예보 :핵개인의 시대 =Forecast of the times: era of nuclear individuals","송길영 저","교보문고","2023","9791170610359","3","9"
"000001563939","알고 있다는 착각 :당연한 것을 의심하고 낯선 진실을 발견하는 인류학자의 사고법","질리언 테트 지음","어크로스: 어크로스출판그룹","2022","9791167740571","3","9"
"000001525236","어서 오세요, 휴남동 서점입니다 :황보름 장편소설","황보름 지음","클레이하우스","2022","9791197377143","8","9"
"000001575373","인생의 역사 :'공무도하가'에서 '사랑의 발명'까지 : 신형철 시화(詩話)","신형철 지음","난다","2022","9791191859379","8","9"
"000001677255","제철 행복 :가장 알맞은 시절에 건네는 스물네 번의 다정한 안부 : 김신지 에세이","김신지 지음","인플루엔셜(Influential)","2024","9791168341890","8","9"
"000001509166","죽이고 싶은 아이 :이꽃님 장편소설","이꽃님 지음","우리학교","2021","9791167550170","8","9"
"000001724627","즐거운 어른 :이옥선 산문","이옥선 지음","이야기장수","2024","9791194184034","8","9"
"000001237941","참을 수 없는 존재의 가벼움","밀란 쿤데라 [지음]","민음사","2018","9788937437564","8","9"
"000001655436","철학은 날씨를 바꾼다 :삶을 쓰다듬는 위안의 책","서동욱 지음","김영사","2024","9788934971351","1","9"
"000000158623","토지 :박경리 대하소설 .1 ,제1부 1권","박경리 지음","마로니에북스","2012","9788960532410","8","9"
"000001103910","파친코 :이민진 장편소설 .2","이민진 지음","문학사상","2018","9788970129822","8","9"
"000001563918","하얼빈 :김훈 장편소설","김훈 지음","문학동네","2022","9788954699914","8","9"
"000001655582","(리얼) 도쿄 :도쿄를 가장 멋지게 여행하는 방법 : 2024~2025년 최신판","양미석 지음","한빛라이프","2024","9791193080252","9","8"
"000001509077","(서울 자가에 대기업 다니는) 김 부장 이야기 .1 ,김 부장 편","송희구 지음","서삼독","2021","9791165343996","3","8"
"000001591441","7시 45분 열차에서의 고백 :리사 엉거 장편소설","리사 엉거 지음","황금시간","2023","9791191602371","8","8"
"000001567431","Mickey7","[by] Edward Ashton","St. Martin`s Press","2022","9781250275035","8","8"
"000001410511","강남 사장님 :이지음 장편동화","이지음 글씀","비룡소","2020","9788949121925","8","8"
"000001654452","금단의 마술","히가시노 게이고 지음","재인","2024","9791192483207","8","8"
"000001582822","기분이 태도가 되지 말자 :감정조절이 필요한 당신을 위한 책","김수현 지음","Highest(하이스트 출판사)","2022","9791197647666","8","8"
"000001655736","나를 소모하지 않는 현명한 태도에 관하여","마티아스 뇔케 지음","퍼스트펭귄","2024","9791198682505","1","8"
"000000847872","나의 눈부신 친구","엘레나 페란테 지음","한길사","2016","9788935669738","8","8"
"000001012233","나의 문화유산답사기 .9 ,서울편1 : 만천명월 주인옹은 말한다","유홍준 지음","창비","2017","9788936474393","9","8"
"000001590888","내면소통 :삶의 변화를 가져오는 마음근력 훈련 =Inner communication","김주환 지음","인플루엔셜","2023","9791168340855","1","8"
"000001653291","내몸혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라","박용우 지음","루미너스","2024","9791198553317","5","8"
"000001589778","놓지 마 과학! .15 ,사라진 마이아사우라의 호박 장식을 찾아라","신태훈","위즈덤하우스","2021","9791191766318","4","8"
"000001638030","단 한 사람 :최진영 장편소설","최진영 지음","한겨레출판: 한겨레엔","2023","9791160405750","8","8"
"000001588725","당신도 느리게 나이 들 수 있습니다","정희원 지음","더 퀘스트: 길벗","2023","9791140702589","5","8"
"000001682454","두 사람의 인터내셔널 :김기태 소설","김기태 지음","문학동네","2024","9788954697941","8","8"
"000001644152","로터스 택시에는 특별한 손님이 탑니다","가토 겐 지음","필름","2023","9791193262047","8","8"
"000000004997","바깥","안익수 외 지음","마음산책","2012","9788960901254","8","8"
"000001515784","방금 떠나온 세계 :김초엽 소설집","김초엽 지음","한겨레출판: 한겨레엔","2021","9791160406504","8","8"
"000001555558","세상의 마지막 기차역 =The last train station in the world","무라세 다케시 지음","모모: 바이포엠 스튜디오","2022","9791191043754","8","8"
"000000844452","쇼코의 미소 :최은영 소설","최은영 [지음]","문학동네","2016","9788954641630","8","8"
"000001570657","이토록 평범한 미래 :김연수 소설","김연수 지음","문학동네","2022","9788954680004","8","8"
"000001359824","지적 대화를 위한 넓고 얕은 지식 .1 ,현실-역사?경제?정치?사회?윤리","채사장 지음","웨일북(Whale Books)","2020","9791190313186","0","8"
"000000270506","퇴마록 .1 ,세계편 =退魔錄","이우혁 지음","문학동네: 엘렉시르","2012","9788954616713","8","8"
"000001731315","한강","한강 지음","문학동네","2023","9788954693462","8","8"
"000001717697","허송세월 :김훈 산문","김훈 지음","나남출판","2024","9788930041683","8","8"
"000001634476","(김재우의) 영어회화 100 :원어민처럼 말하는 진짜 영어회화 : 100일 후, 당신의 입에서 나오는 영어에 놀랄 것이다!","김재우 지음","상상스퀘어","2023","9791192389172","7","7"
"000001383732","(나를 숨 쉬게 하는) 보통의 언어들","김이나 지음","위즈덤하우스","2020","9791190786355","8","7"
"000001294958","(단 한 권을 읽어도 제대로 남는) 메모 독서법","신정철 지음","위즈덤하우스","2019","9791189938338","0","7"
"000001509078","(서울 자가에 대기업 다니는) 김 부장 이야기 .2 ,정 대리?권 사원 편","송희구 지음","서삼독","2021","9791165344009","3","7"
"000001516471","(서울 자가에 대기업 다니는) 김 부장 이야기 .3 ,송 과장 편","송희구 지음","서삼독","2021","9791165344221","3","7"
"000001734853","(토깽이네) 경제 오락실 .2라운드 ,하루에 천만 원 쓰기는 어려워?","토깽이네 원작","위즈덤하우스","2024","9791171711680","3","7"
"000001627727","(흔한남매) 별난 세계 여행 .1 ,세계 유명 박물관","흔한남매 원작","Mirae N 아이세움: 미래엔","2023","9791168415355","9","7"
"000000298219","1984","조지 오웰 지음","민음사","2003","9788937460777","8","7"
"000001511662","1차원이 되고 싶어 :박상영 장편소설","박상영 지음","문학동네","2021","9788954682749","8","7"
"000001737495","GitOps cookbook :커스터마이즈, 헬름, 텍톤, Argo CD를 활용한 쿠버네티스 CI/CD 구축하기","나탈리 빈토","인사이트","2024","9788966264537","0","7"
"000001620118","각각의 계절 :권여선 소설","권여선 지음","문학동네","2023","9788954692526","8","7"
"000001738348","검찰수사관 최수호 :전건우?최길성 장편소설","전건우","서랍의날씨","2025","9791161693293","8","7"
"000001405842","공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가","마이클 샌델 지음","와이즈베리: 미래엔","2020","9791164136452","3","7"
"000001549914","긴긴밤 :큰 판형 양장본","루리 글?그림","문학동네","2021","9788954684033","8","7"
"000001738476","까치 복덕방 :행복을 드립니다: 국지승 그림책","국지승 지음","창비","2025","9788936429416","8","7"
"000001612302","나의 돈 많은 고등학교 친구 :슈퍼리치와의 대화에서 찾아낸 부자의 길","송희구 지음","서삼독","2023","9791165347161","3","7"
"000001675727","나의 돈키호테 :김호연 장편소설","김호연 지음","나무옆의자","2024","9791161571768","8","7"
"000001626275","눈부신 안부 :백수린 장편소설","백수린 지음","문학동네","2023","9788954699372","8","7"
"000001556608","뉴욕 정신과 의사의 사람 도서관 :낙인과 혐오를 넘어 이해와 공존으로","나종호 지음","아몬드","2022","9791197689284","3","7"
"000001384695","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것","김승호 지음","스노우폭스북스","2020","9791188331796","3","7"
"000000005212","두근두근 내 인생 :김애란 장편소설","김애란 지음","창비","2011","9788936433871","8","7"
"000000844269","리틀 라이프 :한야 야나기하라 장편소설 .1","한야 야나기하라 [지음]","시공사","2016","9788952776372","8","7"
"000001591979","바다가 들리는 편의점","마치다 소노코 지음","모모 : 바이포엠 스튜디오","2023","9791192579504","8","7"
"000001655374","불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기","모건 하우절 지음","서삼독","2024","9791198517425","3","7"
"000001611528","불안한 완벽주의자를 위한 책 :자기증명과 인정욕구로부터 벗어나는 10가지 심리학 기술","마이클 투히그","수오서재","2023","9791190382991","1","7"
"000000720724","사람, 장소, 환대","김현경 지음","문학과지성사","2015","9788932027265","3","7"
"000001235305","생각에 관한 생각 :우리의 행동을 지배하는 생각의 반란","대니얼 카너먼 [지음]","김영사","2018","9788934981213","3","7"
"000001589706","세이노의 가르침 :피보다 진하게 살아라","세이노 지음","데이원","2023","9791168473690","1","7"
"000001591447","수확자 :닐 셔스터먼 장편소설","닐 셔스터먼 지음","열린책들","2023","9788932923048","8","7"
"000001719029","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식 .4","슈뻘맨 원작","Mirae N 아이세움 : 미래엔","2024","9791168418462","4","7"
"000001737548","아리아드네의 목소리","이노우에 마기 지음","블루홀6(블루홀식스)","2024","9791193149386","8","7"
"000001718814","아이가 없는 집","알렉스 안도릴 지음","필름(Feelm)","2024","9791193262184","8","7"
"000001280279","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가","제임스 클리어 지음","비즈니스북스","2019","9791162540640","1","7"
"000001631432","아주 희미한 빛으로도 :최은영 소설","최은영 지음","문학동네","2023","9788954695053","8","7"
"000001554289","애쓰지 않아도 :최은영 짧은 소설","최은영 지음","마음산책","2022","9788960907348","8","7"
"000001241340","어떻게 민주주의는 무너지는가 :우리가 놓치는 민주주의 위기 신호","스티븐 레비츠키","어크로스","2018","9791160560589","3","7"
"000001732028","어른의 행복은 조용하다","태수 글","page2(페이지2북스)","2024","9791169851053","8","7"
"000001571576","언러키 스타트업 :정지음 시트콤 소설","정지음 지음","민음사","2022","9788937427343","8","7"
"000001562843","여기는 커스터드 특별한 도시락을 팝니다","가토 겐 지음","필름: 필름(Feelm) 출판사","2022","9791192403076","8","7"
"000001376073","오래 준비해온 대답 :김영하의 시칠리아","김영하 글?사진","복복서가","2020","9791197021602","9","7"
"000001318311","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설집","김초엽 지음","허블","2019","9791190090018","8","7"
"000001681348","율의 시선 :김민서 장편소설","김민서 지음","창비","2024","9788936457259","8","7"
"000001295055","의천도룡기 :김용대하역사소설 .1 ,무림지존 도룡도","김용 지음","김영사","2007","9788934926832","8","7"
"000001516718","이어령의 마지막 수업","김지수 지음","열림원","2021","9791170400523","1","7"
"000001722082","제가 만든 GPT는 당신이 만든 GPT와 전혀 다릅니다 :상위 1% GPT를 만드는 가장 쉬운 방법","유호석 지음","Re:commend(리코멘드)","2024","9791198364296","0","7"
"000000827354","종의 기원 :정유정 장편소설 =The origin of species","정유정 지음","은행나무","2016","9788956609959","8","7"
"000001627525","종의 기원담 :김보영 연작소설","김보영 지음","아작","2023","9791166687204","8","7"
"000001718836","죽이고 싶은 아이 :이꽃님 장편소설 .2","이꽃님 지음","우리학교","2024","9791167552723","8","7"
"000001543109","지리의 힘 :지리는 어떻게 나라의 운명을, 세계의 분쟁을, 우리의 선택을 좌우하는가 .2","팀 마샬 지음","사이","2022","9788993178982","3","7"
"000001727616","지옥 초등학교 .3 ,오늘은 소풍 가는날","아리타 나오 글","한빛에듀","2024","9791169212632","8","7"
"000001359084","지적 대화를 위한 넓고 얕은 지식 :0 : 지혜를 찾아 138억 년을 달리는 시간 여행서 .[3]","채사장 지음","웨일북(Whale Books)","2019","9791190313131","0","7"
"000001555896","채식주의자 :한강 장편소설","한강 지음","창비","2022","9788936434595","8","7"
"000001414452","초급 한국어 :문지혁 장편소설","문지혁 지음","민음사","2020","9788937473302","8","7"
"000001570090","트로피컬 나이트 :조예은 소설집 =Tropical night","조예은 지음","한겨레출판 : 한겨레엔","2022","9791160408331","8","7"
"000001562872","파친코 :이민진 장편소설 .1","이민진 지음","인플루엔셜","2022","9791168340510","8","7"
"000001634650","퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명","벤저민 하디 지음","상상스퀘어","2023","9791192389325","3","7"
"000001717696","행복의 기원 :인간의 행복은 어디서 오는가","서은국 지음","21세기북스: 북이십일 아르테","2024","9791171175864","1","7"
"000001633093","흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트 .1","흔한남매 원작","다산어린이 : 다산북스","2021","9791130635712","7","7"
"000001582847","(365일 인생의 내공을 기르는) 하루 한 장 고전 수업","조윤제 지음","비즈니스북스","2022","9791162543146","1","6"
"000001627934","(5천 년 역사가 단숨에 이해되는) 최소한의 한국사","최태성 지음","프런트페이지","2023","9791198243430","9","6"
"000001717018","(The) money book :잘 살아갈 우리를 위한 금융생활 안내서","토스 엮음","비바리퍼블리카","2024","9791198686114","3","6"
"000001738283","(무한의 계단) 세계여행 :초등학생을 위한 세계사 맛보기 .go 5 ,한국","김강현 글","서울문화사","2025","9791169233705","9","6"
"000001570524","(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이","지나영 지음","21세기북스: 북이십일","2022","9788950941819","5","6"
"000001629537","(위로를 주는 빵집) 오렌지 베이커리 :아빠와 딸, 두 사람의 인생을 바꾼 베이킹 이야기 =Orange bakery","키티 테이트","윌북","2023","9791155816189","5","6"
"000001329932","(이상한 과자 가게) 전천당 .1","히로시마 레이코 글","길벗스쿨","2019","9791164064588","8","6"
"000001094170","(전설로 떠나는) 월가의 영웅 :주식투자에서 상식으로 성공하는 법","피터 린치","국일증권경제연구소","2017","9788957821176","3","6"
"000001738360","(책을 읽고 생각을 정리하며 나를 성장시키는) 생각정리독서법","복주환 지음","천그루숲","2025","9791193000663","0","6"
"000001655709","(처음 읽는) 그리스 로마 신화 .11 ,파리스의 선택 =First Greek mythology","최설희 글","Mirae N 아이세움 : 미래엔","2024","9791168417823","2","6"
"000001633008","(천하무적) 개냥이 수사대 .시즌2-1 ,슈퍼 꿀맛 복숭아 도난 사건","이승민 글","위즈덤하우스","2023","9791168126596","8","6"
"000001731407","(쿠키런) 킹덤스쿨 :부자되기 습관 경제 학습만화 .1 ,부자 쿠키 vs 거지 쿠키","김언정 글","서울문화사","2021","9791164384150","3","6"
"000001734854","(토깽이네) 경제 오락실 .1라운드 ,무인도에서 탈출하라!","토깽이네 원작","위즈덤하우스","2023","9791171710218","3","6"
"000001655656","(퇴근 후 10분) 블로그로 월급만큼 벌기","전인옥 지음","책들의정원","2024","9791164162024","3","6"
"000001629742","(프렌즈) 튀르키예(터키) :최신판 '23?'24 =Turkey","주종원","중앙books: 중앙일보에스","2023","9788927879886","9","6"
"000001721133","(흔한남매) 과학 탐험대 .2 ,지구와 달","흔한남매 원작","주니어김영사 : 김영사","2021","9788934980254","4","6"
"000001720433","(흔한남매) 별난 세계 여행 .3 ,세계 축제","흔한남매 원작","Mirae N 아이세움: 미래엔","2024","9791168418424","9","6"
"000001629702","(흔한남매) 수수께끼 어드벤처 .3","흔한남매 원작","아이세움","2023","9791168415591","3","6"
"000001653356","(흔한남매) 수수께끼 어드벤처 .4","흔한남매 원작","Mirae N 아이세움 : 아이세움","2024","9791168417656","3","6"
"000001677279","(흔한남매) 흔한 MBTI :믿거나 말거나 나에게 어울리는 직업","흔한남매 원작","대원키즈 : 대원씨아이","2021","9791136273796","3","6"
"000001660513","Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .31 ,네팔(Nepal)","김미영 글","아울북×Kakao Friends : 북이십일 아울북","2024","9791171174164","9","6"
"000000965928","Human acts :a novel","[by] Han Kang","Hogarth","2016","9781101906729","8","6"
"000001647516","가난한 아이들은 어떻게 어른이 되는가 :빈곤과 청소년, 10년의 기록","강지나 지음","돌베개","2023","9791192836355","3","6"
"000001571518","가녀장의 시대 :이슬아 장편소설","이슬아 지음","이야기장수: 문학동네","2022","9788954688796","8","6"
"000000850790","거래의 기술 :트럼프는 어떻게 원하는 것을 얻는가","도널드 트럼프 지음","살림출판사","2016","9788952234087","3","6"
"000001738315","거짓말에 귀 기울일 것","에이미 틴터라 지음","북플라자","2025","9791193324424","8","6"
"000001564075","건강의 뇌과학 :날마다 젊어지는 뇌의 비밀","제임스 굿윈 지음","현대지성","2022","9791139706673","5","6"
"000001655945","국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기","나민애 지음","김영사","2024","9788934965404","5","6"
"000001239684","군림천하 :3부 군림의 꿈(君臨之夢) : 용대운 대하소설 .19 ,천룡고궤(天龍古櫃)편","용대운 [지음]","디앤씨미디어: 파피루스","2012","9788926715543","8","6"
"000001629535","권력과 진보 :기술과 번영을 둘러싼 천년의 쟁투","대런 아세모글루","생각의힘","2023","9791193166147","3","6"
"000000178784","그대들, 어떻게 살 것인가","요시노 겐자부로 지음","양철북출판사","2012","9788963720654","1","6"
"000001738294","그때 뽑은 흰머리 지금 아쉬워 :노인들의 일상을 유쾌하게 담다: 실버 센류 모음집 .2","전국유료실버타운협회","포레스트북스","2025","9791194530008","8","6"
"000001329643","그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘","앤절라 더크워스 지음","비즈니스북스","2019","9791162540633","3","6"
"000001718237","그의 운명에 대한 아주 개인적인 생각","유시민 지음","생각의길: 아름다운사람들","2024","9788965138068","3","6"
"000001649581","나 없이는 존재하지 않는 세상 :카를로 로벨리의 기묘하고 아름다운 양자 물리학","카를로 로벨리 지음","쌤앤파커스","2023","9791165348472","4","6"
"000001642997","내 멋대로 장래 희망 뽑기","최은옥 지음","주니어김영사 : 김영사","2023","9788934940999","8","6"
"000001627459","너무 보고플 땐 눈이 온다 :고명재 산문집","고명재 지음","난다","2023","9791191859546","8","6"
"000001295018","놓지 마 과학! .10 ,정신이 동물에 정신 놓다","신태훈","위즈덤하우스: 위즈덤하우스 미디어그룹","2019","9791189938208","4","6"
"000001629701","놓지 마 과학! .18 ,악마견의 숨겨진 진실","신태훈","위즈덤하우스","2023","9791168126336","4","6"
"000001649743","놓지 마 맞춤법 .2 ,불꽃 튀는 본선 속으로","신태훈","주니어김영사 : 김영사","2023","9788934946601","7","6"
"000001525587","다섯 번째 감각 :김보영 소설집","김보영 지음","아작","2022","9791166686603","8","6"
"000001515463","다정소감 :다정이 남긴 작고 소중한 감정들: 김혼비 산문집","김혼비 지음","안온: 안온북스","2021","9791197504136","8","6"
"000001508517","다정한 것이 살아남는다","브라이언 헤어","디플롯","2021","9791197413025","4","6"
"000001476231","달까지 가자 :장류진 장편소설","장류진 지음","창비","2021","9788936434496","8","6"
"000001619599","도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법","요한 하리 지음","어크로스 : 어크로스출판그룹","2023","9791167740984","1","6"
"000001738263","도쿄 호텔 도감 =Tokyo hotel sketch","엔도 케이 지음","윌북","2024","9791155817612","9","6"
"000001543223","도파민네이션 :쾌락 과잉 시대에서 균형 찾기","애나 렘키 지음","흐름출판","2022","9788965965046","5","6"
"000001660433","동경일일 :마츠모토 타이요 만화 .1","마츠모토 타이요 지음","문학동네","2023","9788954696517","8","6"
"000001591258","두고 온 여름 :성해나 소설","성해나 지음","창비","2023","9788936439002","8","6"
"000001655966","디스 이즈 미국 서부 :2024~2025년 최신판 =This is West USA","제이민","Terra(테라)","2024","9791192767130","9","6"
"000001576653","랑과 나의 사막 :천선란 소설","천선란 지음","H(현대문학)","2022","9791167901354","8","6"
"000001655970","랭체인으로 LLM 기반의 AI 서비스 개발하기 :현직 AI specialist에게 배우는 RAG!","서지영 지음","길벗","2024","9791140708598","0","6"
"000000850020","리틀 라이프 :한야 야나기하라 장편소설 .2","한야 야나기하라 [지음]","시공사","2016","9788952776389","8","6"
"000000604254","마녀 .1","강풀 글?그림","재미주의","2013","9788901160948","8","6"
"000000604256","마녀 .3","강풀 글?그림","재미주의","2013","9788901160931","8","6"
"000001626337","마음의 지혜 :내 삶의 기준이 되는 8가지 심리학","김경일 지음","포레스트북스: 콘텐츠그룹 포레스트","2023","9791192625508","1","6"
